PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Prefix,Cabin
1,0,3,male,22.0,1,0,A/5 21171,7.25,S, Mr,
2,1,1,female,38.0,1,0,PC 17599,71.2833,C, Mrs,C85
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,S, Miss,
4,1,1,female,35.0,1,0,113803,53.1,S, Mrs,C123
5,0,3,male,35.0,0,0,373450,8.05,S, Mr,
6,0,3,male,29.69911764705882,0,0,330877,8.4583,Q, Mr,
7,0,1,male,54.0,0,0,17463,51.8625,S, Mr,E46
8,0,3,male,2.0,3,1,349909,21.075,S, Master,
9,1,3,female,27.0,0,2,347742,11.1333,S, Mrs,
10,1,2,female,14.0,1,0,237736,30.0708,C, Mrs,
11,1,3,female,4.0,1,1,PP 9549,16.7,S, Miss,G6
12,1,1,female,58.0,0,0,113783,26.55,S, Miss,C103
13,0,3,male,20.0,0,0,A/5. 2151,8.05,S, Mr,
14,0,3,male,39.0,1,5,347082,31.275,S, Mr,
15,0,3,female,14.0,0,0,350406,7.8542,S, Miss,
16,1,2,female,55.0,0,0,248706,16.0,S, Mrs,
17,0,3,male,2.0,4,1,382652,29.125,Q, Master,
18,1,2,male,29.69911764705882,0,0,244373,13.0,S, Mr,
19,0,3,female,31.0,1,0,345763,18.0,S, Mrs,
20,1,3,female,29.69911764705882,0,0,2649,7.225,C, Mrs,
21,0,2,male,35.0,0,0,239865,26.0,S, Mr,
22,1,2,male,34.0,0,0,248698,13.0,S, Mr,D56
23,1,3,female,15.0,0,0,330923,8.0292,Q, Miss,
24,1,1,male,28.0,0,0,113788,35.5,S, Mr,A6
25,0,3,female,8.0,3,1,349909,21.075,S, Miss,
26,1,3,female,38.0,1,5,347077,31.3875,S, Mrs,
27,0,3,male,29.69911764705882,0,0,2631,7.225,C, Mr,
28,0,1,male,19.0,3,2,19950,263.0,S, Mr,C23 C25 C27
29,1,3,female,29.69911764705882,0,0,330959,7.8792,Q, Miss,
30,0,3,male,29.69911764705882,0,0,349216,7.8958,S, Mr,
31,0,1,male,40.0,0,0,PC 17601,27.7208,C, Don,
